Bored,45
Bored Bubblegum,67.5
Bored Cigar,60
Bored Cigarette,50
Bored Dagger,96.69
Bored Kazoo,69
Bored Party Horn,52.2
Bored Pipe,45
Bored Pizza,117
Bored Unshaven,44.89
Bored Unshaven Bubblegum,69
Bored Unshaven Cigar,63
Bored Unshaven Cigarette,46.99
Bored Unshaven Dagger,168.88
Bored Unshaven Kazoo,99.99
Bored Unshaven Party horn,62
Bored Unshaven Pipe,57
Bored Unshaven Pizza,155
Discomfort,53.33
Dumbfounded,49
Grin,45.9
Grin Diamond Grill,107.69
Grin Gold Grill,85.85
Grin Multicolored,75
Jovial,55
Phoneme  ooo,49.89
Phoneme L,51
Phoneme Oh,45
Phoneme Vuh,51
Phoneme Wah,59
Rage,49
Small Grin,45
Tongue Out,62
